Az alább felsoroltak közül melyik nem jellemző a társadalmi és jogi normákra?<br>a) A hipotetikus szerkezet.<br>b) A szankció.<br>c) A múltra irányultság.<br>d) Mindegyik jellemző.	A múltra irányultság.
Az alábbiak közül melyik nem tartozik a társadalmi normák lényeges mozzanatai közé?<br>a) A magatartás leírása.<br>b) A magatartás minősítése. (tilos, kötelező stb.)<br>c) A következmények leírása.<br>d) Mindegyik oda tartozik.	Mindegyik oda tartozik.
Melyik állítás a legjellemzőbb a jogi normákra?<br>a) A társadalom alkotja, érvényesülését az állam biztosítja.<br>b) Az állam alkotja, érvényesülését az állam biztosítja.<br>c) Az állam alkotja, érvényesülését a társadalom biztosítja.<br>d) A társadalom alkotja, érvényesülését a társadalom biztosítja.	Az állam alkotja, érvényesülését az állam biztosítja.
Az alábbi 3 állítás közül melyik hamis?<br>a) A jogi normákat gyorsabban meg lehet változtatni, mint az erkölcsi normákat.<br>b) Az erkölcsi normák szankciórendszerét a társadalmi nyomás jellemzi.<br>c) A jogi norma az emberek formális magatartására irányul.<br>d) Mindhárom előző állítás igaz.	Mindhárom előző állítás igaz.
Az alábbi 3 állítás közül melyik hamis?<br>a) Az erkölcsi normákat gyorsabban meg lehet változtatni, mint a jogi normákat.<br>b) Az erkölcsi normák szankciórendszerét a társadalmi nyomás jellemzi.<br>c) A jogi norma az emberek formális magatartására irányul.<br>d) Mindhárom előző állítás igaz.	Az erkölcsi normákat gyorsabban meg lehet változtatni, mint a jogi normákat.
Hányféle módját ismerjük a jogképződésnek, a jogi normák létrejöttének? Sorolja is fel ezeket.<br>a) 2 jogalkalmazói (bírói), jogalkotói<br>b) 3 szokásjogi, jogalkalmazói (bírói), jogalkotói<br>c) 4 szokásjogi, vallásjogi, jogalkalmazói (bírói), jogalkotói<br>d) 5 szokásjogi, vallásjogi, jogalkalmazói (bírói), jogalkotói, jogtudományi	3 szokásjogi, jogalkalmazói (bírói), jogalkotói
Melyik jogképződési mód során jön létre a precedensjog?<br>a) Szokásjogi jogképződés útján.<br>b) Jogalkalmazói jogképződés útján.<br>c) Jogalkotói jogképződés útján.<br>d) Megyegyezés útján.	Jogalkalmazói jogképződés útján.
A jog melyik funkciójának megvalósítását biztosítja elsősorban a bírósági szervezet?<br>a) Az integráló funkciót.<br>b) A konfliktus-feloldó funkciót.<br>c) A társadalomszervező funkciót.<br>d) Egyik funkció megvalósítását sem biztosítja.	A konfliktus-feloldó funkciót.
A jog melyik funkciójának megvalósítását biztosítják elsősorban a közigazgatási hatóságok?<br>a) Az integráló funkciót.<br>b) A konfliktus-feloldó funkciót.<br>c) A társadalomszervező funkciót.<br>d) Egyik funkció megvalósítását sem biztosítják.	A társadalomszervező funkciót.
Az alábbi 3 állítás közül melyik hamis?<br>a) Az anyagi jogforrás azt a szervet jelenti, amelytől a jogi norma ered.<br>b) Az alaki jogforrás azt a formát jelenti, amelyben a jogi norma megjelenik.<br>c) Elsődleges jogforrás maga a jogalkotó hatalom, az állam.<br>d) Mindhárom előző állítás igaz.	Mindhárom előző állítás igaz.
Mit mond ki a "Lex superior derogat legi inferiori" alapelv?<br>a) A később megalkotott jogszabály a korábbinak a hatályát lerontja.<br>b) A speciális jogszabályt kell alkalmazni az általánossal szemben.<br>c) Alacsonyabb szintű jogszabály nem ellenkezhet magasabb szintűvel.<br>d) Jogszabállyal ellentétes másik jogszabályt nem lehet alkotni.	Alacsonyabb szintű jogszabály nem ellenkezhet magasabb szintűvel.
Mit mond ki a "Lex posterior derogat legi priori" alapelv?<br>a) A később megalkotott jogszabály a korábbinak a hatályát lerontja.<br>b) A speciális jogszabályt kell alkalmazni az általánossal szemben.<br>c) Alacsonyabb szintű jogszabály nem ellenkezhet magasabb szintűvel.<br>d) Jogszabállyal ellentétes másik jogszabályt nem lehet alkotni.	A később megalkotott jogszabály a korábbinak a hatályát lerontja.
Mit mond ki a "Lex specialis derogat legi generali" alapelv?<br>a) A később megalkotott jogszabály a korábbinak a hatályát lerontja.<br>b) A speciális jogszabályt kell alkalmazni az általánossal szemben.<br>c) Alacsonyabb szintű jogszabály nem ellenkezhet magasabb szintűvel.<br>d) Jogszabállyal ellentétes másik jogszabályt nem lehet alkotni.	A speciális jogszabályt kell alkalmazni az általánossal szemben.
Az alábbi jogszabályok közül melyik tartozik az anyagi jog körébe?<br>a) A büntetőeljárásról szóló törvény.<br>b) A polgári eljárásról szóló törvény.<br>c) Az általános közigazgatási rendtartásról szóló törvény.<br>d) Egyik sem.	Egyik sem.
Az alábbi jogszabályok közül melyik tartozik az anyagi jog körébe?<br>a) A büntetőeljárásról szóló törvény.<br>b) A polgári törvénykönyv.<br>c) Az általános közigazgatási rendtartásról szóló törvény.<br>d) Egyik sem.	A polgári törvénykönyv.
Az alábbi jogszabályok közül melyik tartozik az alaki jog körébe?<br>a) A büntető törvénykönyv.<br>b) A büntetőeljárásról szóló törvény.<br>c) A polgári törvénykönyv.<br>d) A munka törvénykönyve.	A büntetőeljárásról szóló törvény.
Melyik állítás igaz?<br>a) A polgári jog a közjog területéhez tartozik.<br>b) A büntetőjog a magánjog területéhez tartozik.<br>c) A kereskedelmi jog a magánjog területéhez tartozik.<br>d) A közigazgatási jog a magánjog területéhez tartozik.	A kereskedelmi jog a magánjog területéhez tartozik.
Mit nevezünk joghézagnak?<br>a) Amikor a bíróság nem tud választani két alkalmazandó jogszabály közül.<br>b) Amikor két jogszabály egymásnak ellentmondó.<br>c) Amikor a jog nem tartalmaz választ egy adott kérdésre.<br>d) Amikor nincs olyan bíróság, amelyik dönthetne egy adott kérdésben.	Amikor a jog nem tartalmaz választ egy adott kérdésre.
Melyik jogág szabályozási körébe tartozik a gyülekezési jog?<br>a) Polgári jog.<br>b) Alkotmányjog.<br>c) Munkajog.<br>d) Közigazgatási jog.	Alkotmányjog.
Melyik állítás igaz az angolszász jogrendszerekre?<br>a) A jogalkotás és jogalkalmazás szférája mereven elválik egymástól.<br>b) A szabályok jelentős része nincs törvénybe foglalva.<br>c) E jogrendszerek pillérei az írott jogforrások.<br>d) A joganyag önálló, zárt rendszert alkot.	A szabályok jelentős része nincs törvénybe foglalva.
Melyik jogrendszerre a leginkább jellemző, hogy politikailag erősen kötött?<br>a) Az angolszász jogrendszerekre.<br>b) A szocialista jogrendszerekre.<br>c) A kontinentális jogrendszerekre.<br>d) A vallási alapú jogrendszerekre.	A szocialista jogrendszerekre.
Melyik állítás igaz a kontinentális jogrendszerekre?<br>a) A bírónak jelentős szerepe van a jogalkotásban.<br>b) A jogszabályok kevésbé elvontak és általánosak.<br>c) A joganyag önálló, zárt rendszert alkot.<br>d) A jogszabályok egy-egy vitás ügy eldöntésekor keletkeznek.	A joganyag önálló, zárt rendszert alkot.
Melyik állítás nem igaz a szocialista jogrendszerekre vonatkozóan?<br>a) A politika közvetlenül befolyásolja a jogot.<br>b) A magánjognak kisebb a jelentősége.<br>c) A jogi túlszabályozás jellemző.<br>d) Mindegyik fenti állítás igaz rá.	Mindegyik fenti állítás igaz rá.
Melyik állítás nem igaz a szocialista jogrendszerekre vonatkozóan?<br>a) A politika közvetlenül befolyásolja a jogot.<br>b) A magánjognak nagy jelentősége van.<br>c) A jogi túlszabályozás jellemző.<br>d) Mindegyik fenti állítás igaz rá.	A magánjognak nagy jelentősége van.
A tényeknek olyan összessége, amelyhez valamilyen joghatás fűződik, ...<br>a) a jogi norma diszpozíciója.<br>b) a jogi norma szankciója.<br>c) a jogi norma hipotézise.<br>d) a jogi norma jogkövetkezménye.	a jogi norma hipotézise.
Az a magatartási szabály, amelyet a jogalkotó a jogalany számára előír, ...<br>a) a jogi norma diszpozíciója.<br>b) a jogi norma szankciója.<br>c) a jogi norma hipotézise.<br>d) a jogi norma jogkövetkezménye.	a jogi norma diszpozíciója.
Egészítse ki a kipontozott részt. A ... esetén a jogalkotó nem határozza meg, hogy mely tényállás esetén szükséges a normában meghatározott magatartást tanúsítani, csupán példaszerűen felsorolja azokat.<br>a) zárt tényállás<br>b) nyitott tényállás<br>c) parancsoló norma<br>d) diszpozitív norma	nyitott tényállás
Milyenfajta rendelkezés nem fordulhat elő a jogi norma diszpozíciójában?<br>a) tiltó<br>b) parancsoló<br>c) megengedő<br>d) mindhárom előfordulhat	mindhárom előfordulhat
Melyik állítás igaz?<br>a) A lopás bűncselekménye mindig vagyoni jellegű szankciót von maga után.<br>b) A jogi norma megsértése nem járhat személyi jellegű szankcióval.<br>c) A szankció egyidejűleg mindig csak egyféle joghátrányt alkalmazhat.<br>d) Az érvénytelenség a szankciók egyik típusa.	Az érvénytelenség a szankciók egyik típusa.
Melyik állítás igaz?<br>a) Az apaság vélelme nem megdönthető.<br>b) A fikció esetén lehetőség van az ellenkező bizonyítására.<br>c) A 14. életévét be nem töltött személy cselekvőképtelenségének vélelme megdönthető.<br>d) A vélelem legfontosabb jogi következménye a bizonyítási teher megfordítása.	A vélelem legfontosabb jogi következménye a bizonyítási teher megfordítása.
